geoid,geoid20,year,denom_adult_pop,voted_count,registered_count,registration_pct,voter_turnout_pct,denom_registered
1400000US06037101110,6037101110,2010,3889,994,2208,56.799999,45,2208
1400000US06037101122,6037101122,2010,2910,1352,2312,79.5,58.5,2312
1400000US06037101220,6037101220,2010,2524,627,1355,53.700001,46.299999,1355
1400000US06037101221,6037101221,2010,2853,335,975,34.200001,34.400002,975
1400000US06037101222,6037101222,2010,2388,280,816,34.200001,34.299999,816
1400000US06037101300,6037101300,2010,3072,1439,2607,84.900002,55.200001,2607
1400000US06037101400,6037101400,2010,2996,1169,2124,70.900002,55,2124
1400000US06037102103,6037102103,2010,1553,659,1331,85.699997,49.5,1331
1400000US06037102104,6037102104,2010,3236,949,1846,57,51.400002,1846
1400000US06037102105,6037102105,2010,1179,393,812,68.900002,48.400002,812
1400000US06037102107,6037102107,2010,3124,1224,2209,70.699997,55.400002,2209
1400000US06037103101,6037103101,2010,2391,922,1583,66.199997,58.200001,1583
1400000US06037103102,6037103102,2010,3553,1280,2531,71.199997,50.599998,2531
1400000US06037103201,6037103201,2010,1357,542,960,70.699997,56.5,960
1400000US06037103202,6037103202,2010,3289,1314,2328,70.800003,56.400002,2328
1400000US06037103300,6037103300,2010,2792,1654,2639,94.5,62.700001,2639
1400000US06037103401,6037103401,2010,2861,1020,1851,64.699997,55.099998,1851
1400000US06037103402,6037103402,2010,2245,799,1452,64.699997,55,1452
1400000US06037104103,6037104103,2010,2696,744,1608,59.599998,46.299999,1608
1400000US06037104105,6037104105,2010,3679,575,1568,42.599998,36.700001,1568
1400000US06037104108,6037104108,2010,3348,660,1554,46.400002,42.5,1554
1400000US06037104124,6037104124,2010,2746,792,1581,57.599998,50.099998,1581
1400000US06037104201,6037104201,2010,2992,563,1457,48.700001,38.599998,1457
1400000US06037104203,6037104203,2010,2830,555,1359,48,40.799999,1359
1400000US06037104204,6037104204,2010,2188,315,764,34.900002,41.200001,764
1400000US06037104310,6037104310,2010,3525,670,1845,52.299999,36.299999,1845
1400000US06037104321,6037104321,2010,1800,271,722,40.099998,37.5,722
1400000US06037104322,6037104322,2010,2396,360,961,40.099998,37.5,961
1400000US06037104401,6037104401,2010,2195,462,1079,49.200001,42.799999,1079
1400000US06037104403,6037104403,2010,2148,622,1477,68.800003,42.099998,1477
1400000US06037104404,6037104404,2010,2136,106,278,13,38.099998,278
1400000US06037104500,6037104500,2010,1901,308,660,34.700001,46.700001,660
1400000US06037104610,6037104610,2010,2025,339,865,42.700001,39.200001,865
1400000US06037104620,6037104620,2010,2064,419,1051,50.900002,39.900002,1051
1400000US06037104701,6037104701,2010,2591,289,856,33,33.799999,856
1400000US06037104703,6037104703,2010,1656,159,453,27.4,35.099998,453
1400000US06037104704,6037104704,2010,2597,637,1272,49,50.099998,1272
1400000US06037104821,6037104821,2010,2544,555,1350,53.099998,41.099998,1350
1400000US06037104822,6037104822,2010,1079,131,313,29,41.900002,313
1400000US06037104823,6037104823,2010,1349,333,797,59.099998,41.799999,797
