X,Y,OBJECTID,VCID,VC_Site_Name,VC_Site_Room,VC_Site_address,VC_Site_city,VC_Site_ZIP,Voting_Period_Type,number_of_BMDs,VC_Size
-13195345.4239,4054492.4727,3546,14232,The Valley Vineyard Christian Church,Fellowship Hall,6642 Reseda Blvd,Reseda,91335,4 Day,,
-13163956.7445,4045408.8756,3547,5479,AYAC Mesdjian Center,Banquet Hall,1811 S Glendale Ave,Glendale,91205,11 Day,,
-13196577.0674,4059200.3721,3548,12620,Napa Street Elementary School,Auditorium,19010 Napa St,Northridge,91324,4 Day,,
-13165986.4384,4037834.0867,3549,14016,Regis House Community Center,Library-Big Room,2212 Beverly Blvd,Los Angeles,90057,4 Day,,
-13144256.7023,4039448.7177,3550,4390,Rosemead Community Recreation Center,Multi-Purpose Room 1,3936 Muscatel Ave,Rosemead,91770,4 Day,,
-13153414.2566,4034321.7122,3551,13246,Nueva Maravilla Housing Community,Community Room,4919 E Cesar E Chavez Ave ,Los Angeles,90022,4 Day,,
-13178313.122,4012852.2897,3552,6441,Cornerstone Christian Fellowship,Fellowship Hall,300 N Redondo Ave,Manhattan Beach,90266,4 Day,,
-13196669.7333,4068347.064,3553,9851,Castlebay Lane Elementary School,Performing Arts Center,19010 Castlebay Ln,Porter Ranch,91326,4 Day,,
-13155949.3805,4008532.3018,3554,10948,Carmelitos Community Center,Multi-Purpose Room,851 E Via Carmelitos,Long Beach,90805,4 Day,,
-13149890.0664,4041298.8339,3555,203,Alhambra Civic Center Library,Reese Hall,101 S 1st St,Alhambra,91801,4 Day,,
-13185164.3336,4038241.9219,3556,13198,UCLA Ackerman Union,2nd Floor Bruin Reception Room,308 Westwood Plz,Los Angeles,90095,4 Day,,
-13164838.7836,4036173.335,3557,14153,Central City Neighborhood Partners,Atrium,501 S Bixel St,Los Angeles,90017,11 Day,,
-13149980.4342,4004616.6221,3558,12610,Wardlow Park Community Center,Social Hall,3457 Stanbridge Ave,Long Beach,90808,4 Day,,
-13198355.3451,4056002.3639,3559,13079,Vietnamese Association of SFV,Main Room,7245 Corbin Ave,Winnetka,91306,11 Day,,
-13192974.5095,4033896.4897,3560,363,Rustic Canyon Recreation Center,Gallery,601 Latimer Rd,Santa Monica,90402,4 Day,,
-13182379.9886,4036694.3021,3561,9461,Westfield Century City,Community Room,10250 Santa Monica Blvd,Los Angeles,90067,4 Day,,
-13158564.0496,4034045.0522,3562,10834,Boyle Heights Senior Center,Art Room,2839 E 3rd St,Los Angeles,90033,11 Day,,
-13181306.5681,4032586.7085,3563,10024,IMAN Cultural Center,Community Room,3376 Motor Ave,Los Angeles,90034,4 Day,,
-13154540.067,4030569.0577,3564,214,Bristow Park Community Center,Meeting Room,1466 S McDonnell Ave,Commerce,90040,4 Day,,
-13150578.6824,4014148.6012,3565,6627,IOOF Bellflower Lodge 463,Meeting Hall,15720 Clark Ave,Bellflower,90706,11 Day,,
-13148198.9746,4052829.8606,3566,12597,Tekeyan Cultural Association,Hall,1901 N Allen Ave ,Altadena,91001,11 Day,,
-13192208.2169,4064697.8904,3567,13932,Granada Elementary School,Auditorium,17170 Tribune St,Granada Hills,91344,4 Day,,
-13116752.4579,4110227.7475,3568,11779,Stephen Sorensen Park,Multi-Purpose Room,16801 E Ave P,Palmdale,93591,11 Day,,
-13164509.7216,4010754.5292,3569,3698,Cal State University Dominguez Hills,EE-1213 Auditorium,1000 E Victoria St,Carson,90747,4 Day,,
-13179703.1381,4051901.4879,3570,14157,Adat Ari El,Jacoby Social and Sisterhood Lounge,12020 Burbank Blvd,Valley Village,91607,4 Day,,
-13164603.6579,4029249.1153,3571,14339,George Washington Carver Middle School,Auditorium,4410 McKinley Ave,Los Angeles,90011,4 Day,,
-13172491.8477,4050860.8992,3572,9859,Buena Vista Branch Library,Meeting Room,300 N Buena Vista St,Burbank,91505,4 Day,,
-13182104.6702,4050025.7804,3573,5953,Riverside Drive Elementary School,Auditorium,13061 Riverside Dr,Sherman Oaks,91423,4 Day,,
-13132696.7158,4105972.9734,3574,11726,Jackie Robinson Park,Carroll Building,8773 E Avenue R Ave,Littlerock,93543,4 Day,,
-13131100.8257,4023123.5014,3575,13031,The Park,Gymnasium,1885 Hacienda Rd,La Habra Heights,90631,4 Day,,
-13151824.8455,4024526.5188,3576,416,Bell Gardens Veterans Park,Ross Hall Auditorium,6662 Loveland St,Bell Gardens,90201,11 Day,,
-13185739.4404,4034921.981,3577,13541,Felicia Mahood Multipurpose Center,Lobby,11338 Santa Monica Blvd,Los Angeles,90025,4 Day,,
-13177907.7194,4006148.9618,3578,12864,Alta Vista Park,Community Center,715 Julia Ave,Redondo Beach,90277,4 Day,,
-13202630.8288,4053691.5356,3579,6031,Owensmouth Gardens,Community Room,6300 Owensmouth Ave,Woodland Hills,91367,4 Day,,
-13192895.7948,4079384.0358,3580,9452,Dr J Michael McGrath Elementary School,Library,21501 Deputy Jake Dr ,Newhall,91321,4 Day,,
-13137876.8895,4040221.1233,3581,12969,Lambert Park,Auditorium,11431 McGirk Ave ,El Monte,91732,11 Day,,
-13174171.9732,4041915.9092,3582,174,Will and Ariel Durant Library,Community Room,7140 W Sunset Blvd,Los Angeles,90046,4 Day,,
-13143195.5226,4017508.8663,3583,13565,LA County Registrar-Recorder,Room 3201,12400 Imperial Hwy,Norwalk,90650,11 Day,,
-13124403.5846,4043902.4168,3584,12264,Center Middle School,Auditorium,5500 N Cerritos Ave,Azusa,91702,4 Day,,
-13143551.5576,4037096.901,3585,11784,Garvey Center,Frank G Tripepi Room,9108 Garvey Ave ,Rosemead,91770,4 Day,,
-13118975.3744,4027701.3198,3586,14464,South Pointe Middle School,Multi-Purpose Room,20671 Larkstone Dr,Walnut,91789,4 Day,,
-13172684.5168,4036325.1263,3587,14534,Los Angeles High School,Memorial Hall,4650 W Olympic Blvd,Los Angeles,90019,4 Day,,
-13155326.0304,4040532.4059,3588,8746,Barrio Action Youth and Family Center,Gymnasium,4927 Huntington Dr N 200,Los Angeles,90032,11 Day,,
-13156708.7496,4048075.1489,3589,13290,Eagle Rock Recreation Center,Multi-Purpose Room,1100 Eagle Vista Dr,Los Angeles,90041,4 Day,,
-13207329.3364,4052356.4109,3590,12428,Woodland Hills Presbyterian Church,Fellowship Hall,5751 Platt Ave,Woodland Hills,91367,11 Day,,
-13156710.0788,4036005.3176,3591,6932,Harrison Elementary School,Auditorium,3529 City Terrace Dr,Los Angeles,90063,4 Day,,
-13188769.9796,4055098.8889,3592,6051,Bassett Street Elementary School,Auditorium,15756 Bassett St,Van Nuys,91406,4 Day,,
-13164045.4422,4020417.098,3593,2959,Maxine Waters Employment Center,Mobley Center,10925 S Central Ave,Los Angeles,90059,4 Day,,
-13159875.9909,4046684.9104,3594,12964,Greater Los Angeles Agency on Deafness,Dining Room,2222 Laverna Ave,Los Angeles,90041,4 Day,,
-13156083.4096,4023858.3427,3595,1732,Elizabeth Learning Center,Multi-Purpose Room,4811 Elizabeth St,Cudahy,90201,4 Day,,
-13152478.7827,4014283.1577,3596,3797,Progress Park,Auditorium,15500 Downey Ave,Paramount,90723,4 Day,,
-13201026.401,4051680.3436,3597,12317,Woodland Hills Academy,Multi-Purpose Room,20800 Burbank Blvd,Woodland Hills,91367,4 Day,,
-13116851.6341,4028687.0801,3598,3968,Diamond Bar City Hall,Windmill Community Room,21810 Copley Dr,Diamond Bar,91765,11 Day,,
-13152864.9934,4006422.8517,3599,13175,Lakewood Country Club,Hacienda Room,3101 Carson St   ,Lakewood,90712,4 Day,,
-13150864.3301,4030652.6257,3600,10936,Saybrook Park,Community Room,6250 Northside Dr,Los Angeles,90022,4 Day,,
-13155134.8365,3999687.4282,3601,3193,MacArthur Park,Social Hall,1321 E Anaheim St,Long Beach,90813,4 Day,,
-13162389.1066,4057632.1815,3602,14619,La Crescenta Woman's Club,Meeting Room and Tea Room,4004 La Crescenta Ave,La Crescenta,91214,11 Day,,
-13189285.1059,4029891.2089,3603,4399,Joslyn Park,Rec Building Community Room,633 Kensington Rd,Santa Monica,90405,4 Day,,
-13197015.7437,4084731.003,3604,9623,Valencia Branch Library,Multi-Purpose Room,23743 Valencia Blvd,Santa Clarita,91355,4 Day,,
-13188487.1675,4035562.7089,3605,12389,Brentwood Science Magnet School,Auditorium,740 S Gretna Green Way,Los Angeles,90049,4 Day,,
-13207663.4665,4049289.9545,3606,212,Founders Hall,Behind the Library,200 Civic Center Way,Calabasas,91302,11 Day,,
